Member Name,Phone,Chit Group,Installment No,Base Amount,Amount Due,Amount Paid,Payment Status,Payment Mode,Due Date
Kamal 100,9874382503,10L/20M,18,50000,48287,48287,PAID,CASH,2026-08-20
Surya 50,9514069209,10L/20M,6,50000,47908,0,DUE,,2026-09-12
Mani 23,9905621852,5L/20M,15,25000,23106,0,DUE,,2026-09-14
Ganesh 65,9763204237,10L/20M,2,50000,46641,0,DUE,,2026-08-07
Arun 57,9387392403,1L/10M,18,10000,8907,0,DUE,,2026-09-05
Bala 65,9515680218,5L/20M,4,25000,20577,10288,PARTIAL,BANK_TRANSFER,2026-10-02
Krishna 45,9745270454,1L/10M,8,10000,7821,3910,PARTIAL,CASH,2026-09-11
Vijay 41,9046704079,10L/20M,12,50000,46394,0,DUE,,2026-08-25
Suresh 16,9970563839,10L/20M,13,50000,46864,46864,PAID,BANK_TRANSFER,2026-09-07
Arun 81,9909101984,10L/20M,14,50000,46012,46012,PAID,CASH,2026-08-06
Suresh 5,9721714362,10L/20M,3,50000,48189,0,OVERDUE,,2026-09-22
Vignesh 63,9306611991,5L/20M,19,25000,21240,10620,PARTIAL,CASH,2026-09-10
Ramesh 11,9391302088,5L/20M,18,25000,22879,22879,PAID,UPI,2026-08-05
Bala 36,9443072866,5L/20M,1,25000,23269,0,DUE,,2026-09-01
Murugan 94,9469325311,1L/10M,3,10000,8712,4356,PARTIAL,CASH,2026-08-21
Bala 62,9180581533,10L/20M,9,50000,47333,0,OVERDUE,,2026-09-14
Karthik 94,9563827883,1L/10M,10,10000,7567,0,OVERDUE,,2026-09-11
Suresh 45,9121290217,10L/20M,10,50000,48704,0,DUE,,2026-09-17
Saravanan 31,9883818698,10L/20M,16,50000,45722,45722,PAID,CASH,2026-08-17
Murugan 62,9566784653,10L/20M,5,50000,48833,0,OVERDUE,,2026-08-10
Mani 93,9337963466,5L/20M,5,25000,23893,23893,PAID,BANK_TRANSFER,2026-08-16
Mani 96,9603907355,5L/20M,5,25000,23421,23421,PAID,CASH,2026-08-26
Kamal 30,9379314633,5L/20M,7,25000,21523,10761,PARTIAL,BANK_TRANSFER,2026-10-02
Karthik 64,9088360503,1L/10M,14,10000,6995,0,OVERDUE,,2026-08-17
Siva 82,9502227328,5L/20M,7,25000,22473,0,DUE,,2026-09-27
Murugan 50,9289843632,5L/20M,13,25000,21797,0,DUE,,2026-08-25
Dhanush 23,9018793806,10L/20M,6,50000,46035,46035,PAID,CASH,2026-08-11
Mani 90,9008737976,10L/20M,2,50000,47195,47195,PAID,CASH,2026-08-07
Mani 6,9545089053,5L/20M,5,25000,22012,11006,PARTIAL,BANK_TRANSFER,2026-09-17
Vignesh 89,9957220208,5L/20M,4,25000,20405,10202,PARTIAL,BANK_TRANSFER,2026-08-24
Krishna 68,9762450093,5L/20M,17,25000,23656,23656,PAID,BANK_TRANSFER,2026-08-23
Vignesh 19,9185063236,10L/20M,15,50000,45907,22953,PARTIAL,CASH,2026-09-08
Bala 4,9857827679,10L/20M,20,50000,48618,0,OVERDUE,,2026-09-06
Prakash 41,9661363240,10L/20M,19,50000,48070,48070,PAID,CASH,2026-08-07
Vijay 28,9113838832,1L/10M,4,10000,6882,6882,PAID,BANK_TRANSFER,2026-08-27
Murugan 69,9800032390,10L/20M,18,50000,48099,0,OVERDUE,,2026-08-11
Murugan 61,9266586446,1L/10M,18,10000,5312,5312,PAID,BANK_TRANSFER,2026-08-23
Ganesh 67,9458914577,5L/20M,4,25000,22875,22875,PAID,CASH,2026-10-02
Ganesh 99,9037406333,10L/20M,3,50000,48721,0,DUE,,2026-09-18
Gopal 49,9501929786,1L/10M,15,10000,7955,7955,PAID,BANK_TRANSFER,2026-09-08
Kamal 88,9122346730,5L/20M,4,25000,22025,0,OVERDUE,,2026-08-10
Siva 46,9036607666,5L/20M,20,25000,22831,11415,PARTIAL,UPI,2026-08-17
Rajini 44,9346599202,1L/10M,9,10000,7641,3820,PARTIAL,BANK_TRANSFER,2026-09-21
Ajith 100,9433511670,1L/10M,3,10000,8704,8704,PAID,UPI,2026-08-08
Bala 74,9465097244,5L/20M,8,25000,22665,0,OVERDUE,,2026-09-03
Bala 78,9107189006,10L/20M,16,50000,47563,0,DUE,,2026-10-02
Vijay 86,9704918768,10L/20M,11,50000,45917,45917,PAID,UPI,2026-08-21
Surya 97,9871408735,10L/20M,18,50000,46650,23325,PARTIAL,UPI,2026-08-31
Karthik 22,9363219086,1L/10M,8,10000,6937,6937,PAID,BANK_TRANSFER,2026-09-19
Karthik 59,9542889824,1L/10M,16,10000,6103,6103,PAID,UPI,2026-09-02
Gopal 9,9354422393,1L/10M,19,10000,7127,0,DUE,,2026-08-31
Surya 31,9697758502,5L/20M,3,25000,23554,0,OVERDUE,,2026-08-08
Saravanan 95,9085972101,10L/20M,18,50000,46554,0,DUE,,2026-09-06
Vignesh 16,9664088939,10L/20M,20,50000,45331,45331,PAID,CASH,2026-08-05
Surya 9,9285845286,1L/10M,19,10000,7001,7001,PAID,BANK_TRANSFER,2026-09-22
Suresh 71,9847401269,10L/20M,14,50000,46545,0,DUE,,2026-08-22
Rajini 75,9543983708,1L/10M,19,10000,5894,5894,PAID,CASH,2026-08-19
Ganesh 52,9839531236,10L/20M,10,50000,48279,0,DUE,,2026-08-17
Mani 16,9309222896,1L/10M,17,10000,8268,0,OVERDUE,,2026-08-13
Krishna 83,9909819228,1L/10M,5,10000,8938,0,DUE,,2026-09-04
Vijay 57,9077706090,5L/20M,10,25000,20624,20624,PAID,UPI,2026-10-01
Saravanan 49,9921008943,1L/10M,5,10000,5656,2828,PARTIAL,CASH,2026-09-22
Prakash 76,9822680823,10L/20M,19,50000,45466,45466,PAID,UPI,2026-09-11
Ganesh 10,9360444104,1L/10M,8,10000,6465,6465,PAID,BANK_TRANSFER,2026-08-22
Ajith 15,9728663025,1L/10M,10,10000,5487,5487,PAID,CASH,2026-08-07
Krishna 6,9151060518,1L/10M,1,10000,5228,0,DUE,,2026-08-20
Ramesh 6,9849307327,5L/20M,4,25000,23898,11949,PARTIAL,BANK_TRANSFER,2026-08-21
Vignesh 41,9946446088,5L/20M,6,25000,21767,0,DUE,,2026-09-16
Dhanush 55,9560246896,5L/20M,18,25000,23121,23121,PAID,UPI,2026-09-20
Ajith 30,9767158227,5L/20M,16,25000,20217,20217,PAID,BANK_TRANSFER,2026-09-05
Dhanush 21,9746908703,1L/10M,17,10000,7395,3697,PARTIAL,CASH,2026-10-02
Kamal 23,9461417452,10L/20M,17,50000,45999,0,DUE,,2026-09-17
Arun 62,9275614457,10L/20M,16,50000,48164,48164,PAID,UPI,2026-08-23
Arun 46,9481642073,1L/10M,2,10000,6431,6431,PAID,UPI,2026-09-24
Ajith 60,9908532704,10L/20M,11,50000,48435,24217,PARTIAL,UPI,2026-08-05
Mani 26,9292169315,10L/20M,6,50000,47045,0,OVERDUE,,2026-08-05
Prakash 60,9904162302,10L/20M,10,50000,48836,48836,PAID,UPI,2026-09-05
Krishna 43,9291800341,1L/10M,1,10000,7832,0,DUE,,2026-10-03
Suresh 45,9406513663,10L/20M,15,50000,47326,0,OVERDUE,,2026-08-09
Mani 87,9297649111,1L/10M,12,10000,6219,0,DUE,,2026-08-25
Siva 7,9122754808,5L/20M,14,25000,20170,0,DUE,,2026-08-29
Krishna 66,9979116124,5L/20M,7,25000,23541,11770,PARTIAL,BANK_TRANSFER,2026-08-30
Bala 70,9207477696,5L/20M,5,25000,21357,10678,PARTIAL,BANK_TRANSFER,2026-09-09
Surya 48,9507162738,5L/20M,10,25000,22107,0,OVERDUE,,2026-08-19
Ajith 31,9339888276,5L/20M,13,25000,21638,21638,PAID,BANK_TRANSFER,2026-09-25
Prakash 46,9962796123,5L/20M,4,25000,23021,23021,PAID,BANK_TRANSFER,2026-09-03
Rajini 67,9871367435,10L/20M,11,50000,47215,47215,PAID,BANK_TRANSFER,2026-08-12
Suresh 6,9311563789,1L/10M,20,10000,5787,0,OVERDUE,,2026-10-04
Bala 67,9178576450,10L/20M,7,50000,48120,48120,PAID,UPI,2026-09-12
Surya 11,9712062966,10L/20M,17,50000,48375,48375,PAID,CASH,2026-09-25
Arun 21,9163999557,1L/10M,1,10000,7273,3636,PARTIAL,CASH,2026-09-21
Ajith 34,9850922545,10L/20M,17,50000,46114,46114,PAID,CASH,2026-09-19
Rajini 75,9064563951,10L/20M,8,50000,45017,22508,PARTIAL,BANK_TRANSFER,2026-09-13
Surya 50,9272141585,1L/10M,7,10000,5552,5552,PAID,UPI,2026-09-10
Ajith 70,9180481463,10L/20M,14,50000,45631,45631,PAID,CASH,2026-10-04
Gopal 42,9327128883,5L/20M,16,25000,21527,10763,PARTIAL,CASH,2026-08-22
Karthik 5,9870714075,10L/20M,20,50000,47004,47004,PAID,CASH,2026-08-10
Ajith 79,9814255406,1L/10M,5,10000,6785,0,OVERDUE,,2026-09-12
Ganesh 84,9695810842,5L/20M,15,25000,20608,20608,PAID,UPI,2026-08-13
Ganesh 32,9212767868,10L/20M,14,50000,46763,46763,PAID,BANK_TRANSFER,2026-09-28
